event_date,event_performer_name,event_title,event_openers,event_addl_desc,event_type,event_subtype,ticket_cost,venue_name,venue_location_city,venue_location_state
4/24/2023,Moontower Comedy Festival 2023,,,,comedy,,$125.00,Paramount Theatre,Austin,TX
6/1/2023,Theo Von,,,,comedy,,$96.96,Paramount Theatre,Austin,TX
6/3/2023,All Them Witches,,,,concert,,$40.00,Antone's Nightclub,Austin,TX
6/9/2023,Djunah,,"Bridge Farmers, The Grasshopper Lies Heavy",,concert,,$13.54,The 13th Floor,Austin,TX
6/25/2023,The Smile,,,,concert,,$75.00,The Moody Theater,Austin,TX
9/29/2023,Wilco,,,,concert,,$95.00,Moody Amphitheater,Austin,TX
10/9/2023,Aunty Donna,The Magical Dead Cat Tour,,,comedy,,$43.00,Paramount Theatre,Austin,TX
10/22/2023,Jonathan Van Ness,,,,comedy,,$55.00,Paramount Theatre,Austin,TX
11/5/2023,Seattle Seahawks at Baltimore Ravens,,,,sports,Football,$139.00,M&T Bank Stadium,Baltimore,MD
5/24/2024,Lightning Bolt,,"Big Business, Porcelain",,concert,,$72.38,Mohawk,Austin,TX
6/12/2024,Alanis Morissette,The Triple Moon Tour,,,concert,,$129.33,Moody Center,Austin,TX
7/25/2024,Comedy Bang! Bang! LIVE,,,,comedy,,$59.75,Paramount Theatre,Austin,TX
8/18/2024,Digable Planets,,,,concert,,$37.50,Empire Control Room & Garage,Austin,TX
10/18/2024,Sunset Rubdown,,,,concert,,$25.00,Parish,Austin,TX
11/3/2024,The Sword,,Pentagram,,concert,,$40.00,Stubb's,Austin,TX
11/8/2024,Twin Shadow,,,,concert,,$23.00,Mohawk,Austin,TX
11/14/2024,Jack White,,,,concert,,$116.00,Mohawk,Austin,TX
4/20/2025,Moontower Comedy Festival 2025,,,,comedy,,$125.00,The Paramount & State Theatres,Austin,TX
6/28/2025,Phish,,,,concert,,$210.00,Moody Center,Austin,TX
9/5/2025,Brown Sabbath,,,,concert,,$30.50,Mohawk - Outdoor,Austin,TX
9/10/2025,Buena Vista Social Orchestra,,,,concert,,$80.00,Paramount Theatre,Austin,TX
9/14/2025,Seattle Seahawks at Pittsburgh Steelers,,,,sports,Football,$379.00,Acrisure Stadium,Pittsburgh,PA
11/18/2025,They Are Gutting a Body of Water,,,,concert,,$25.00,29th Street Ballroom,Austin,TX
3/19/2026,Lady Gaga,,,,concert,,"$1,216.00",Madison Square Garden,New York,NY
4/20/2026,Moontower Comedy Festival 2026,,,,comedy,,$125.00,Paramount Theatre,Austin,TX
